H STO3G 1
S 3
1 3.4252509099999999 0.15432897000000001
2 0.62391373000000006 0.53532813999999995
3 0.16885539999999999 0.44463454000000002

HE STO3G 1
S 3
1 6.3624213899999997  0.15432897000000001
2 1.1589229999999999  0.53532813999999995
3 0.31364978999999998 0.44463454000000002

LI STO3G 3
S 3
1 16.119575000000001   0.15432897000000001
2 2.9362007000000001   0.53532813999999995
3 0.79465050000000004  0.44463454000000002
S 3
1 0.63628969999999996 -0.099967230000000004
2 0.14786009999999999  0.39951282999999999
3 0.048088699999999998 0.70011546999999996
P 3
1 0.63628969999999996  0.15591627
2 0.14786009999999999  0.60768372000000004
3 0.048088699999999998 0.39195739000000002
